Symbol,Company,Sector,Sub Industry,Market Cap,Revenue,Net Income,EBITDA,Book Equity,EBITDA Margin,Net Margin,ROE,P/E,P/B,Earnings Yield,Dividend Yield,Payout Ratio,Sustainable Growth,Priced In Growth,Growth Gap,In Screen,Funding Verdict
CARR,Carrier Global,Industrials,Building Products,47464636416.0,22108001344.0,1162298321.0,3092999936.0,13135619891.0,0.139904,0.052574,0.088484,40.8369,3.6134,0.024488,0.0168,0.68606,0.027779,0.078981,-0.051202,True,Priced above what the balance sheet can fund
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,364191219712.0,74728996662.0,10673650883.0,16250999808.0,19395061836.0,0.217466,0.142831,0.550328,34.1206,18.7775,0.029308,0.0084,0.286613,0.392597,0.076811,0.315786,False,Outside screen
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,30715250688.0,5061300173.0,1280324267.0,1930700032.0,5619120016.0,0.381463,0.252964,0.227851,23.9902,5.4662,0.041684,0.0112,0.26869,0.16663,0.071242,0.095388,True,Funds more growth than the price implies
CBRE,CBRE Group,Real Estate,Real Estate Services,41137065984.0,43711001416.0,1245173756.0,2214000128.0,8390155362.0,0.050651,0.028487,0.148409,33.0372,4.903,0.030269,0.0,0.0,0.148409,0.076379,0.07203,True,Funds more growth than the price implies
CDW,CDW,Information Technology,Technology Distributors,18586339328.0,23500400727.0,1027643165.0,2010899968.0,2436589375.0,0.085569,0.043729,0.421755,18.0864,7.628,0.05529,0.0168,0.303851,0.293604,0.065119,0.228485,False,Outside screen
COR,Cencora,Health Care,Health Care Distributors,64186621952.0,332771333479.0,2570441782.0,5546476032.0,3050944517.0,0.016668,0.007724,0.842507,24.971,21.0383,0.040046,0.0073,0.182289,0.688928,0.071979,0.616948,False,Outside screen
CNP,CenterPoint Energy,Utilities,Multi-Utilities,26026035200.0,9620000229.0,1106649940.0,3854000128.0,11720608383.0,0.400624,0.115036,0.094419,23.5179,2.2205,0.042521,0.0243,0.571484,0.04046,0.070866,-0.030405,True,Priced above what the balance sheet can fund
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,21076860928.0,7738999475.0,2094519676.0,3872999936.0,5738287686.0,0.500452,0.270645,0.365008,10.0629,3.673,0.099375,0.0177,0.178113,0.299995,0.045281,0.254714,True,Funds more growth than the price implies
CHTR,Charter Communications,Communication Services,Cable & Satellite,21425577984.0,54395999772.0,5632351412.0,21814999040.0,19154845727.0,0.401041,0.103543,0.294043,3.804,1.1185,0.26288,0.0,0.0,0.294043,-0.028296,0.322339,True,Funds more growth than the price implies
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,415428345856.0,209383989304.0,20361442204.0,50661998592.0,189883191802.0,0.241957,0.097245,0.107231,20.4027,2.1878,0.049013,0.0337,0.687571,0.033502,0.067944,-0.034442,True,Priced above what the balance sheet can fund
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,48743903232.0,12423759103.0,1366651492.0,2275020032.0,2195500325.0,0.183118,0.110003,0.622478,35.6667,22.2017,0.028037,0.0,0.0,0.622478,0.077383,0.545095,False,Outside screen
CB,Chubb Limited,Financials,Property & Casualty Insurance,130948194304.0,61895994909.0,10906562527.0,14883000320.0,75404582868.0,0.240452,0.176208,0.144641,12.0064,1.7366,0.083289,0.012,0.144076,0.123801,0.05252,0.071281,True,Funds more growth than the price implies
CHD,Church & Dwight,Consumer Staples,Household Products,23559092224.0,6229100173.0,740076196.0,1354800000.0,4349133744.0,0.217495,0.118809,0.170166,31.8333,5.417,0.031414,0.0124,0.394733,0.102996,0.075864,0.027132,True,Funds more growth than the price implies
CI,Cigna,Health Care,Health Care Services,74737778688.0,282382000707.0,6381407705.0,12757999616.0,42707338714.0,0.04518,0.022598,0.149422,11.7118,1.75,0.085384,0.022,0.25766,0.110922,0.051577,0.059345,True,Funds more growth than the price implies
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,26350647296.0,13953999373.0,3252199990.0,4365000192.0,16679534572.0,0.312814,0.233066,0.194981,8.1024,1.5798,0.12342,0.0221,0.179063,0.160067,0.034461,0.125607,True,Funds more growth than the price implies
CTAS,Cintas,Industrials,Diversified Support Services,79269584896.0,11264760547.0,1964832459.0,2994993920.0,5140178058.0,0.265873,0.174423,0.38225,40.3442,15.4216,0.024787,0.0104,0.41958,0.221866,0.078846,0.14302,True,Funds more growth than the price implies
CSCO,Cisco,Information Technology,Communications Equipment,431409725440.0,63325001910.0,13085562911.0,18626000896.0,50190230581.0,0.294133,0.206641,0.260719,32.9684,8.5955,0.030332,0.0153,0.504416,0.129208,0.076351,0.052858,True,Funds more growth than the price implies
CME,CME Group,Financials,Financial Exchanges & Data,99880329216.0,6757199575.0,4243035190.0,4771100160.0,26542704359.0,0.706077,0.627928,0.159857,23.5398,3.763,0.042481,0.0182,0.428425,0.09137,0.070883,0.020487,True,Funds more growth than the price implies
CMS,CMS Energy,Utilities,Multi-Utilities,21342060544.0,8812999655.0,1044211896.0,3017999872.0,9549365180.0,0.342449,0.118485,0.109349,20.4384,2.2349,0.048927,0.0335,0.684688,0.034479,0.067983,-0.033504,True,Priced above what the balance sheet can fund
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,379656929280.0,50128998021.0,14327488378.0,16997999616.0,36145716350.0,0.339085,0.285812,0.396381,26.4985,10.5035,0.037738,0.0241,0.638614,0.143247,0.073018,0.070229,True,Funds more growth than the price implies
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,28558163968.0,21641999795.0,2099070096.0,4036000000.0,14412412655.0,0.186489,0.096991,0.145643,13.6052,1.9815,0.073502,0.0208,0.282987,0.104428,0.056924,0.047504,True,Funds more growth than the price implies
CMCSA,Comcast,Communication Services,Cable & Satellite,95138947072.0,124903993364.0,11284664367.0,34072999936.0,89819546128.0,0.272794,0.090347,0.125637,8.4308,1.0592,0.118612,0.0502,0.423227,0.072464,0.036624,0.03584,True,Funds more growth than the price implies
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,164823498752.0,64459004522.0,9142178028.0,26780000256.0,65349151316.0,0.415458,0.141829,0.139897,18.0289,2.5222,0.055466,0.0247,0.445314,0.077599,0.06504,0.012559,True,Broadly consistent
ED,Consolidated Edison,Utilities,Multi-Utilities,39819448320.0,17689000199.0,2252256341.0,6161999872.0,25707158943.0,0.348352,0.127325,0.087612,17.6798,1.549,0.056562,0.0326,0.576362,0.037116,0.064547,-0.027431,True,Priced above what the balance sheet can fund
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,22093543424.0,9056700744.0,1776365300.0,3455800064.0,8223716904.0,0.381574,0.196138,0.216005,12.4375,2.6866,0.080402,0.0315,0.391781,0.131378,0.053819,0.077559,True,Funds more growth than the price implies
CEG,Constellation Energy,Utilities,Electric Utilities,102763315200.0,31270000379.0,3624564593.0,7952000000.0,31887310479.0,0.254301,0.115912,0.113668,28.3519,3.2227,0.035271,0.0061,0.172947,0.094009,0.074128,0.019881,True,Broadly consistent
COO,Cooper Companies (The),Health Care,Health Care Supplies,13599485952.0,4230999907.0,232086452.0,886400000.0,8244334671.0,0.209501,0.054854,0.028151,58.5966,1.6496,0.017066,0.0,0.0,0.028151,0.08232,-0.054169,True,Priced above what the balance sheet can fund
