symbol,name,sector,sub_industry,market_cap,fail_reasons,in_base,in_margin,in_returns
KKR,KKR,Financials,Asset Management & Custody Banks,98297741312.0,ebitda_missing,True,False,True
USB,U.S. Bancorp,Financials,Diversified Banks,97798889472.0,ebitda_missing,True,False,True
PNC,PNC Financial Services,Financials,Diversified Banks,96727883776.0,ebitda_missing,True,False,True
UPS,United Parcel Service,Industrials,Air Freight & Logistics,87639007232.0,payout_above_earnings,True,True,False
HCA,HCA Healthcare,Health Care,Health Care Facilities,87046594560.0,non_positive_book,True,True,False
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",86871687168.0,non_positive_book,True,True,False
CL,Colgate-Palmolive,Consumer Staples,Household Products,71825268736.0,book_near_zero,True,True,False
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,71177609216.0,negative_trailing_eps,True,True,False
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,70355320832.0,non_positive_book,True,True,False
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",70109970432.0,non_positive_book,True,True,False
DLR,Digital Realty,Real Estate,Data Center REITs,69399478272.0,payout_above_earnings,True,True,False
APD,Air Products,Materials,Industrial Gases,68910039040.0,negative_trailing_eps,True,True,False
TDG,TransDigm Group,Industrials,Aerospace & Defense,63775289344.0,non_positive_book,True,True,False
TFC,Truist Financial,Financials,Diversified Banks,62070829056.0,ebitda_missing,True,False,True
MRNA,Moderna,Health Care,Biotechnology,60208766976.0,negative_trailing_eps,True,True,False
O,Realty Income,Real Estate,Retail REITs,58192408576.0,payout_above_earnings,True,True,False
CAH,Cardinal Health,Health Care,Health Care Distributors,57095016448.0,non_positive_book,True,True,False
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,56384606208.0,negative_trailing_eps,True,True,False
PSA,Public Storage,Real Estate,Self-Storage REITs,56272093184.0,payout_above_earnings,True,True,False
STT,State Street Corporation,Financials,Asset Management & Custody Banks,52204318720.0,ebitda_missing,True,False,True
FITB,Fifth Third Bancorp,Financials,Regional Banks,49334956032.0,ebitda_missing,True,False,True
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,48746684416.0,ebitda_missing,True,False,True
VTR,Ventas,Real Estate,Health Care REITs,47221841920.0,payout_above_earnings,True,True,False
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,41837195264.0,book_near_zero; negative_trailing_eps,True,True,False
YUM,Yum! Brands,Consumer Discretionary,Restaurants,41281748992.0,non_positive_book,True,True,False
MSCI,MSCI,Financials,Financial Exchanges & Data,40757800960.0,non_positive_book,True,True,False
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,40413954048.0,negative_trailing_eps,True,True,False
MCHP,Microchip Technology,Information Technology,Semiconductors,39509315584.0,payout_above_earnings,True,True,False
KVUE,Kenvue,Consumer Staples,Personal Care Products,36744396800.0,payout_above_earnings,True,True,False
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,36595924992.0,payout_above_earnings,True,True,False
KMB,Kimberly-Clark,Consumer Staples,Household Products,36347564032.0,payout_above_earnings,True,True,False
WEC,WEC Energy Group,Utilities,Electric Utilities,34452054016.0,pb_missing,True,True,False
HBAN,Huntington Bancshares,Financials,Regional Banks,34104600576.0,ebitda_missing,True,False,True
MTB,M&T Bank,Financials,Regional Banks,34007140352.0,ebitda_missing,True,False,True
