symbol,name,sector,sub_industry,price,market_cap,price_to_earnings,price_to_sales,price_to_book,dividend_yield,eps,ebitda,revenue,book_equity,net_income,shares_outstanding,ebitda_margin,net_margin,roe,payout_ratio,retention_ratio,earnings_yield,sustainable_growth,range_position,in_base,in_margin,in_returns,in_core,fail_reasons,priced_in_growth,growth_gap,in_screen
ATO,Atmos Energy,Utilities,Gas Utilities,167.68,28336001024.0,19.985695,5.757564,1.8570858,0.0239,8.39,2624299008.0,4921526017.600499,15258315487.631212,1417813982.534351,168988555.72519082,0.5332287178031587,0.28808421970419845,0.09292075156755869,0.4776581105,0.5223418895,0.050035788097436695,0.0485364009475587,0.23387843258253666,True,True,True,True,,0.06748389535615348,-0.018947494408594785,True
ADSK,Autodesk,Information Technology,Application Software,241.73,50521567232.0,32.05968,6.4854383,14.933588,0.0,7.54,2286000128.0,7790000443.300802,3383082969.2100787,1575859913.661027,208999988.5492078,0.29345314478972856,0.20229266033177515,0.46580589700209113,0.0,1.0,0.03119182724219331,0.46580589700209113,0.3916010864266314,True,True,True,True,,0.07596367774101301,0.3898422192610781,False
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,281.16,111694397440.0,25.700184,5.0891857,18.54495,0.024,10.94,6411200000.0,21947400630.32088,6022900975.1981,4346054588.112106,397262759.42523825,0.2921165976777572,0.19802138127045094,0.7215882189792883,0.616804416,0.383195584,0.03891022725751691,0.2765094189792882,0.8120852252881594,True,True,True,True,,0.07249039773411739,0.20401902124517082,False
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,184.06,26283393024.0,25.248285,8.52383,2.1691887,0.000387,7.29,1857816064.0,3083519148.551766,12116692763.520298,1040997148.4568076,142797962.75127676,0.6024986304601219,0.3376003515158101,0.08591429873355755,0.009771086294999998,0.990228913705,0.03960665051111392,0.08507482270665755,0.9878409897010376,True,True,True,True,,0.07217700726999873,0.012897815436658813,True
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,174.42,13218967552.0,18.93811,1.4293711,5.6996274,0.0231,9.21,1496499968.0,9248100477.19588,2319268721.3202744,698008778.5455798,75788140.9930054,0.16181701006494192,0.07547590775713796,0.3009607294497708,0.43747034100000004,0.562529659,0.052803579660272326,0.16929933650977083,0.46689303904923596,True,True,True,True,,0.06623838915287744,0.10306094735689339,True
AXON,Axon Enterprise,Industrials,Aerospace & Defense,506.98,41185746944.0,217.588,12.794185,11.208188,0.0,2.33,165106000.0,3219098906.573572,3674612430.126975,189283187.4620695,81237419.51161781,0.05128950827290355,0.05880005335516194,0.051511057595087964,0.0,1.0,0.004595841682445723,0.051511057595087964,0.3706719629261835,True,True,True,True,,0.08793187124289942,-0.036420813647811454,False
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,64.63,64156520448.0,20.781351,2.3140314,3.221513,0.0145,3.11,4839000064.0,27724999949.438885,19915027643.2223,3087216131.7233486,992673997.3386973,0.17453562030026026,0.11135134850688537,0.15501942101839286,0.30132958950000005,0.6986704104999999,0.048120066881118556,0.10830748251839285,0.7818044545111362,True,True,True,True,,0.06834596990349665,0.03996151261489621,True
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",63.3,16755722240.0,18.137535,1.1696023,2.9150357,0.0127,3.49,2076000000.0,14325999735.12364,5748033288.23726,923814701.6998421,264703352.92259085,0.14491135267231547,0.06448518210110585,0.1607184052298176,0.23034669449999998,0.7696533055,0.05513428368298118,0.12369745183981759,0.7872975277067346,True,True,True,True,,0.06518957234265846,0.05850787949715913,True
BDX,Becton Dickinson,Health Care,Health Care Equipment,187.52,51077976064.0,32.442905,2.2717476,2.0919933,0.0224,5.78,6120999936.0,22484001331.838097,24415936735.552643,1574395806.580205,272386817.7474403,0.2722380169641984,0.07002293690273038,0.0644823051449924,0.726721072,0.273278928,0.03082338033539228,0.017621655224992407,0.9152458511698824,True,True,True,True,,0.07612947884907346,-0.05850782362408106,True
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,87.0,18336739328.0,13.765822,0.43450958,5.775358,0.0465,6.32,2652000000.0,42201001248.34992,3174996134.958214,1332048190.2639081,210767118.71264368,0.06284211088720779,0.03156437408735632,0.41954327173488076,0.640110723,0.35988927699999995,0.07264368230244442,0.15098912473488074,0.8819463643903789,True,True,True,True,,0.05731034296390001,0.09367878177098074,False
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,72.3,11337959424.0,62.32759,9.331354,5.3531766,0.0044,1.16,334105984.0,1215039041.9225335,2117987182.4142697,181909169.18174273,156818249.29460582,0.27497551310890417,0.14971466998616872,0.0858877521174812,0.274241396,0.7257586039999999,0.01604425905124841,0.062333775077481196,0.9891230455472465,True,True,True,True,,0.08278008342693821,-0.020446308349457015,True
BIIB,Biogen,Health Care,Biotechnology,222.67,32900382720.0,39.480495,3.2808847,1.744926,0.0,5.64,3359200000.0,10027899706.441984,18854887095.498608,833332548.3486774,147753997.93416268,0.3349854005661853,0.08310140435622222,0.04419716622094024,0.0,1.0,0.02532896307404454,0.04419716622094024,0.9676274944567625,True,True,True,True,,0.07860196661667995,-0.03440480039573971,True
BLK,BlackRock,Financials,Asset Management & Custody Banks,1107.08,179874136064.0,27.02832,6.5890374,2.9783912,0.0203,40.96,11116000256.0,27299000619.422802,60393052485.51634,6655024581.043322,162476186.06062797,0.4071944028636398,0.2437827184160133,0.11019520266150466,0.548674896,0.45132510400000003,0.03699823000467658,0.04973386130150467,0.6269707486365886,True,True,True,True,,0.07335079649789554,-0.023616935196390867,True
BA,Boeing,Industrials,Aerospace & Defense,208.87,165084594176.0,74.067375,1.7563125,27.069725,0.0,2.82,-2900000000.0,93995000420.48326,6098495428.970926,2228843565.740987,790370058.7733997,-0.03085270479309489,0.023712362953032983,0.36547434008563146,0.0,1.0,0.013501221016675696,0.36547434008563146,0.4137664346481052,True,True,True,True,,0.08392445054249593,0.28154988954313553,True
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,65.18,13274973184.0,31.33654,0.9254722,2.3616798,0.0107,2.08,2036000000.0,14343999942.948044,5620987732.545284,423626023.66861,203666357.53298557,0.14194088176924183,0.029533325805461794,0.07536504668352026,0.33530097799999997,0.664699022,0.03191162776745614,0.050095072823520256,0.6440501043841339,True,True,True,True,,0.07563976750464474,-0.025544694681124483,True
